3397	PINTPTEST
35a8	PINTMOVDI2MM_DSZ32
3604	PFPBLENDLDMSK_PACKEDSP
3606	PFPBLENDTMPMSK_DSZ64
3607	PFPMOVE_PACKEDSP
3660	PFPSTD_PACKEDSP
3664	PFPSTDMODE256_PACKEDSP
3686	PFPOR_PACKEDSP
36a8	PINTMOVDI2MM_DSZ64
3702	PFPBLEND_PACKEDDP
3704	PFPBLENDLDMSK_PACKEDDP
3707	PFPMOVE_PACKEDDP
3986	PFPLDBCASTCONDINDEX_SCALARDP_ASZ64_SC1
3a07	PFPCONDLDINDEX_PACKEDSP_ASZ16_SC1
3a41	PFPLD_PACKEDSP_ASZ32_SC1_UA
3a87	PFPCONDLDINDEX_PACKEDSP_ASZ64_SC1
3aa0	PFPLD_PACKEDSP_ASZ64_SC4_AL
3aa8	PFPLDBCAST_PACKEDSP_ASZ64_SC4
3ab0	PFPLD_PACKEDSP_ASZ64_SC8_AL
3e41	PFPSTA_PACKEDSP_ASZ32_SC1_UA
3ea0	PFPSTA_PACKEDSP_ASZ64_SC4_AL
